n,var,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1,cpu,259,259,259,239,223,223,223,223,221,220
1,ram,1538,1538,1538,1539,1540,1540,1540,1540,1546,1557
3,cpu,220,220,220,215,176,176,176,176,166,158
3,ram,1557,1557,1557,1558,1567,1567,1567,1567,1571,1575
5,cpu,158,158,158,199,204,204,204,205,208,208
5,ram,1575,1575,1575,1579,1580,1580,1580,1597,1619,1619
7,cpu,208,208,194,192,192,192,188,174,174,174
7,ram,1619,1619,1629,1632,1632,1632,1632,1633,1633,1633
10,cpu,174,192,201,201,201,201,201,201,199,197
10,ram,1633,1633,1634,1634,1634,1634,1634,1634,1634,1635
13,cpu,197,197,194,191,195,219,219,213,197,197
13,ram,1635,1635,1635,1637,1636,1633,1633,1634,1638,1638
15,cpu,197,197,217,222,222,222,201,192,185,185
15,ram,1638,1638,1649,1652,1652,1652,1652,1652,1653,1653
