n,var,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1,cpu,113,113,113,110,96,96,96,96,96,100
1,ram,806,806,806,806,808,808,808,808,808,808
3,cpu,130,130,130,130,141,156,156,156,156,157
3,ram,809,809,809,809,809,810,810,810,810,816
5,cpu,160,160,160,160,183,218,218,218,218,178
5,ram,833,833,833,833,834,836,836,836,836,836
7,cpu,163,163,163,163,184,184,184,184,189,211
7,ram,837,837,837,837,837,837,837,837,837,839
10,cpu,211,211,211,219,236,236,236,236,279,284
10,ram,839,839,839,839,839,839,839,839,841,842
13,cpu,284,284,286,293,293,293,293,233,193,193
13,ram,842,842,842,842,842,842,842,840,840,840
15,cpu,193,197,231,231,231,231,301,343,343,343
15,ram,840,840,840,840,840,840,841,842,842,842
