n,var,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1,cpu,247,247,392,447,456,469,472,539,539,545
1,ram,868,869,914,932,932,932,932,933,933,941
3,cpu,549,554,638,856,857,855,845,831,829,853
3,ram,947,949,950,950,950,948,944,948,951,951
5,cpu,853,886,1041,997,997,974,899,925,888,904
5,ram,951,952,953,953,951,951,951,950,953,953
7,cpu,895,878,1122,1100,873,1048,995,1124,1046,901
7,ram,953,955,955,955,956,952,950,956,956,956
10,cpu,1161,1132,1032,989,996,981,1100,1177,1175,1045
10,ram,955,952,958,952,957,957,959,959,957,955
13,cpu,1054,1062,1176,1180,1120,1170,1137,1054,1068,1052
13,ram,958,957,959,961,954,962,959,960,959,959
15,cpu,1082,1098,1168,1080,1072,1169,1164,1051,1072,1186
15,ram,953,958,962,959,956,952,960,959,962,955
