n,var,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10
1,cpu,252,255,255,255,255,262,264,264,264,264
1,ram,1544,1544,1544,1544,1544,1584,1595,1595,1595,1595
3,cpu,247,246,246,246,282,304,304,304,326,348
3,ram,1603,1604,1604,1604,1601,1600,1600,1600,1609,1618
5,cpu,348,348,360,367,367,367,401,405,405,393
5,ram,1618,1618,1619,1621,1621,1621,1628,1629,1629,1628
7,cpu,288,288,288,328,351,351,355,375,375,375
7,ram,1620,1620,1620,1621,1622,1622,1622,1626,1626,1626
10,cpu,355,339,339,365,402,402,412,431,431,431
10,ram,1623,1621,1621,1621,1622,1622,1622,1624,1624,1624
13,cpu,436,436,437,441,441,449,461,461,457,454
13,ram,1624,1624,1625,1629,1629,1628,1628,1628,1631,1634
15,cpu,454,470,476,480,494,494,480,452,452,478
15,ram,1634,1634,1635,1636,1640,1640,1642,1647,1647,1647
